title	user	upload_time	number_of_play	number of comment	like	repost
Asleep Bt	sewer side 666	4 months ago	17 plays	17 plays	2	0
Concrete Bt	sewer side 666	4 months ago	49 plays	49 plays	4	0
heaven ep - bobby	thebobby	22 days ago	19 plays	2 comments	2	0
NHẢY CHẬM TRONG ĐÊM BUỒN - BOBBY	thebobby	1 month ago	19 plays	19 plays	1	0
PEACHES JUSTIN BOBBY	thebobby	6 months ago	99 plays	99 plays	5	0
congratulation post malone cover	thebobby	2 years ago	98 plays	1 comment	2	0
Paranoize no1	thebobby	2 years ago	31 plays	31 plays	3	0
Dizz V/Rap - bobby	thebobby	2 years ago	965 plays	965 plays	23	1
deadbird	thebobby	3 years ago	122 plays	122 plays	5	0
I'm just too sad no one can feel it	thebobby	3 years ago	88 plays	88 plays	1	0
khóc x newsoulz lofi	New$oulZ	5 months ago	7,349 plays	7 comments	127	12
đêm dài lắm mộng em có biết không?	New$oulZ	2 years ago	176,377 plays	64 comments	2,400	156
Anh Them Dc Ngu short instrumental ver.	New$oulZ	3 years ago	297,220 plays	9 comments	1,579	135
Cho Anh Thời Gian Anh Tin Mình Làm Được - Par SG x New$oulZ	New$oulZ	3 years ago	555,245 plays	59 comments	4,405	330
ｌｏｓｔ	New$oulZ	3 years ago	286,486 plays	35 comments	3,298	252
Ly do nào để quay lại với nhau - newsoulz	New$oulZ	4 years ago	952,719 plays	135 comments	9,256	593
